Codi_Districte,Nom_Districte,Any,prestamos_presenciales,poblacion,pct_mayores,pct_joven,pct_extranjera,renta_per_capita,prestamos_per_capita,indice_base100,fondo_documental,oferta_per_capita,rotacion_fondo,ipc,renta_real
7,Horta-Guinardó,2014,407197,166924,23.8,26.6,12.4,,2.44,80.0,317565,1.9,1.28,,
7,Horta-Guinardó,2015,368571,166530,24.1,26.5,11.5,18561.0,2.21,72.4,281309,1.69,1.31,95.9,19355.0
7,Horta-Guinardó,2016,367818,167390,24.0,26.5,11.7,18877.0,2.2,72.3,287406,1.72,1.28,95.7,19725.0
7,Horta-Guinardó,2017,340414,168981,23.7,26.8,12.6,18877.0,2.01,66.9,293685,1.74,1.16,97.7,19321.0
7,Horta-Guinardó,2018,340221,170053,23.6,27.0,13.4,19107.0,2.0,66.9,290374,1.71,1.17,99.3,19242.0
7,Horta-Guinardó,2019,324490,172266,23.3,27.3,15.0,19909.0,1.88,63.8,286434,1.66,1.13,100.0,19909.0
7,Horta-Guinardó,2020,156159,174598,23.0,27.6,16.6,18721.0,0.89,30.7,281407,1.61,0.55,99.7,18777.0
7,Horta-Guinardó,2021,267111,173944,22.8,27.4,17.2,19972.0,1.54,52.5,271321,1.56,0.98,102.8,19428.0
7,Horta-Guinardó,2022,319212,172109,22.9,27.3,17.0,20677.0,1.85,62.7,263318,1.53,1.21,111.4,18561.0
7,Horta-Guinardó,2023,330284,175550,22.5,27.7,18.7,,1.88,64.9,261167,1.49,1.26,,
7,Horta-Guinardó,2024,318158,180138,22.2,27.9,20.5,,1.77,62.5,252981,1.4,1.26,,
8,Nou Barris,2010,122774,168080,22.4,29.1,16.8,,0.73,30.4,188037,1.12,0.65,,
8,Nou Barris,2011,403438,167621,22.8,28.6,16.9,,2.41,100.0,306726,1.83,1.32,,
8,Nou Barris,2012,375175,167334,23.0,28.2,16.9,,2.24,93.0,230816,1.38,1.63,,
8,Nou Barris,2013,319379,165809,23.4,27.8,16.3,,1.93,79.2,235294,1.42,1.36,,
8,Nou Barris,2014,351637,164514,23.8,27.6,15.6,,2.14,87.2,242965,1.48,1.45,,
8,Nou Barris,2015,337201,164637,23.8,27.6,14.6,15204.0,2.05,83.6,250292,1.52,1.35,95.9,15854.0
8,Nou Barris,2016,307305,164971,23.7,27.7,14.7,15250.0,1.86,76.2,255527,1.55,1.2,95.7,15935.0
8,Nou Barris,2017,288764,166805,23.4,28.1,15.8,15231.0,1.73,71.6,255671,1.53,1.13,97.7,15590.0
8,Nou Barris,2018,259833,168327,23.1,28.5,16.9,15493.0,1.54,64.4,257403,1.53,1.01,99.3,15602.0
8,Nou Barris,2019,277132,171290,22.6,28.9,18.7,15955.0,1.62,68.7,251942,1.47,1.1,100.0,15955.0
8,Nou Barris,2020,143472,174012,22.2,29.2,20.3,14982.0,0.82,35.6,243188,1.4,0.59,99.7,15027.0
8,Nou Barris,2021,241317,173552,21.9,29.1,20.9,16291.0,1.39,59.8,229304,1.32,1.05,102.8,15847.0
8,Nou Barris,2022,267129,170736,22.1,28.9,19.9,16935.0,1.56,66.2,225726,1.32,1.18,111.4,15202.0
8,Nou Barris,2023,268585,174215,21.6,29.4,21.5,,1.54,66.6,226416,1.3,1.19,,
8,Nou Barris,2024,293847,179590,21.2,29.7,23.0,,1.64,72.8,221758,1.23,1.33,,
9,Sant Andreu,2010,166876,146988,19.2,29.3,13.9,,1.14,32.6,249564,1.7,0.67,,
9,Sant Andreu,2011,511870,147353,19.5,28.8,13.6,,3.47,100.0,249958,1.7,2.05,,
9,Sant Andreu,2012,527906,147397,19.8,28.4,13.4,,3.58,103.1,254615,1.73,2.07,,
9,Sant Andreu,2013,367833,146949,20.3,28.0,13.0,,2.5,71.9,247589,1.68,1.49,,
9,Sant Andreu,2014,392222,145998,21.0,27.7,12.1,,2.69,76.6,245862,1.68,1.6,,
9,Sant Andreu,2015,354918,146512,21.4,27.6,11.4,18424.0,2.42,69.3,253209,1.73,1.4,95.9,19212.0
9,Sant Andreu,2016,350687,146800,21.6,27.6,11.3,18681.0,2.39,68.5,259871,1.77,1.35,95.7,19520.0
9,Sant Andreu,2017,345831,147789,21.7,27.7,12.0,18623.0,2.34,67.6,264309,1.79,1.31,97.7,19061.0
9,Sant Andreu,2018,357803,148653,21.7,28.0,12.6,18927.0,2.41,69.9,267395,1.8,1.34,99.3,19060.0
9,Sant Andreu,2019,341527,150353,21.7,28.1,13.9,19651.0,2.27,66.7,266920,1.78,1.28,100.0,19651.0
9,Sant Andreu,2020,168176,152063,21.6,28.2,15.2,18496.0,1.11,32.9,266652,1.75,0.63,99.7,18552.0
9,Sant Andreu,2021,318447,151537,21.6,28.1,15.6,19947.0,2.1,62.2,252396,1.67,1.26,102.8,19404.0
9,Sant Andreu,2022,359891,149826,22.0,27.9,15.1,20514.0,2.4,70.3,247001,1.65,1.46,111.4,18415.0
9,Sant Andreu,2023,360231,151799,22.0,28.2,16.5,,2.37,70.4,247898,1.63,1.45,,
9,Sant Andreu,2024,350071,155470,21.9,28.4,18.2,,2.25,68.4,238876,1.54,1.47,,
10,Sant Martí,2010,145475,230220,19.2,29.2,15.7,,0.63,35.0,204778,0.89,0.71,,
10,Sant Martí,2011,415272,231078,19.4,28.8,15.6,,1.8,100.0,205981,0.89,2.02,,
